,strategy_returns,cumulative_returns,drawdown
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,-0.0,0.0,0.0
6,-0.0,0.0,0.0
7,0.0,0.0,0.0
8,-0.0,0.0,0.0
9,0.0,0.0,0.0
10,-0.0,0.0,0.0
11,-0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,-0.0,0.0,0.0
16,0.0,0.0,0.0
17,-0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,-0.0,0.0,0.0
22,0.0,0.0,0.0
23,-0.0,0.0,0.0
24,-0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,-0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,-0.00013408398645849408,-0.013407499760254016,-0.013407499760254016
32,0.0,-0.013407499760254016,-0.013407499760254016
33,-0.0,-0.013407499760254016,-0.013407499760254016
34,0.0,-0.013407499760254016,-0.013407499760254016
35,-3.8364152540781615e-05,-0.017243327067362202,-0.017243327067362202
36,-1.9182628212486636e-05,-0.019161240720910744,-0.019161240720910744
37,0.0,-0.019161240720910744,-0.019161240720910744
38,-9.589474600025669e-05,-0.02874841817129825,-0.02874841817129825
39,-0.00015345072343776663,-0.04408790209196045,-0.04408790209196045
40,-0.0,-0.04408790209196045,-0.04408790209196045
41,0.0,-0.04408790209196045,-0.04408790209196045
42,0.0,-0.04408790209196045,-0.04408790209196045
43,1.937482429655474e-05,-0.042151255096622986,-0.042151255096622986
44,5.735495264944516e-05,-0.03641801300158232,-0.03641801300158232
45,-0.0,-0.03641801300158232,-0.03641801300158232
46,8.63230689347517e-05,-0.027788477364110165,-0.027788477364110165
47,0.00011508583497867439,-0.016282429847513935,-0.016282429847513935
48,0.00019178029708021105,0.002894316013501985,0.0
49,-0.00010547461187936366,-0.007652894210063987,-0.01054690496280486
50,-1.917839745364223e-05,-0.009570568796157808,-0.012464524046940095
51,-0.0,-0.009570568796157808,-0.012464524046940095
52,-0.0,-0.009570568796157808,-0.012464524046940095
53,0.0,-0.009570568796157808,-0.012464524046940095
54,0.0,-0.009570568796157808,-0.012464524046940095
55,-0.0,-0.009570568796157808,-0.012464524046940095
56,0.0,-0.009570568796157808,-0.012464524046940095
57,-0.0,-0.009570568796157808,-0.012464524046940095
58,-0.0,-0.009570568796157808,-0.012464524046940095
59,-0.00023026883988689755,-0.032592598251335314,-0.035485887191122334
60,-0.0,-0.032592598251335314,-0.035485887191122334
61,-0.0,-0.032592598251335314,-0.035485887191122334
62,0.0,-0.032592598251335314,-0.035485887191122334
63,-0.0,-0.032592598251335314,-0.035485887191122334
64,0.0,-0.032592598251335314,-0.035485887191122334
65,-0.0,-0.032592598251335314,-0.035485887191122334
66,-0.0,-0.032592598251335314,-0.035485887191122334
67,0.0,-0.032592598251335314,-0.035485887191122334
68,0.0,-0.032592598251335314,-0.035485887191122334
69,0.0,-0.032592598251335314,-0.035485887191122334
70,-0.0,-0.032592598251335314,-0.035485887191122334
71,0.0,-0.032592598251335314,-0.035485887191122334
72,0.0,-0.032592598251335314,-0.035485887191122334
73,0.0,-0.032592598251335314,-0.035485887191122334
74,-0.0,-0.032592598251335314,-0.035485887191122334
75,-0.0,-0.032592598251335314,-0.035485887191122334
76,0.0,-0.032592598251335314,-0.035485887191122334
77,0.0,-0.032592598251335314,-0.035485887191122334
78,-0.0,-0.032592598251335314,-0.035485887191122334
79,-0.0,-0.032592598251335314,-0.035485887191122334
80,0.0,-0.032592598251335314,-0.035485887191122334
81,0.0,-0.032592598251335314,-0.035485887191122334
82,-0.0,-0.032592598251335314,-0.035485887191122334
83,0.0,-0.032592598251335314,-0.035485887191122334
84,0.0,-0.032592598251335314,-0.035485887191122334
85,0.0,-0.032592598251335314,-0.035485887191122334
86,-0.0,-0.032592598251335314,-0.035485887191122334
87,0.0,-0.032592598251335314,-0.035485887191122334
88,0.0,-0.032592598251335314,-0.035485887191122334
89,0.0,-0.032592598251335314,-0.035485887191122334
90,7.672830510956375e-05,-0.024921974241975953,-0.027815485187432376
91,-5.064002081941122e-05,-0.029984586088160903,-0.03287795050987974
92,-0.0,-0.029984586088160903,-0.03287795050987974
93,-0.0,-0.029984586088160903,-0.03287795050987974
94,-0.0,-0.029984586088160903,-0.03287795050987974
95,0.0,-0.029984586088160903,-0.03287795050987974
96,0.0,-0.029984586088160903,-0.03287795050987974
97,-0.0,-0.029984586088160903,-0.03287795050987974
98,0.0,-0.029984586088160903,-0.03287795050987974
99,0.0,-0.029984586088160903,-0.03287795050987974
100,0.0,-0.029984586088160903,-0.03287795050987974
101,-0.0,-0.029984586088160903,-0.03287795050987974
102,-0.0,-0.029984586088160903,-0.03287795050987974
103,0.0,-0.029984586088160903,-0.03287795050987974
